id,pert,gene,label
Cbfb_Mmp14,Cbfb,Mmp14,down
Atg9a_Rnf128,Atg9a,Rnf128,up
Psmd13_Creg1,Psmd13,Creg1,up
Ctdspl2_Lrrc8dos,Ctdspl2,Lrrc8dos,none
Rpl26_Stap1,Rpl26,Stap1,none
Emc7_Slamf9,Emc7,Slamf9,none
Atp6ap2_Mir22hg,Atp6ap2,Mir22hg,none
Nckap1l_Adap2,Nckap1l,Adap2,none
Ccdc22_Gpnmb,Ccdc22,Gpnmb,up
Ddx6_Ahnak,Ddx6,Ahnak,none
Wdr1_Chst11,Wdr1,Chst11,up
Myd88_Ckb,Myd88,Ckb,none
Ndc80_Fcgr2b,Ndc80,Fcgr2b,down
Sfpq_Selenow,Sfpq,Selenow,none
Chd4_Lrrc55os,Chd4,Lrrc55os,none
Bloc1s1_Lipa,Bloc1s1,Lipa,up
Rnf40_Akt3,Rnf40,Akt3,up
Chmp3_Akr1a1,Chmp3,Akr1a1,none
Rpl26_Vps54,Rpl26,Vps54,none
Tnfaip3_Glrx,Tnfaip3,Glrx,down
Wdr70_Lmna,Wdr70,Lmna,up
Prpf40a_Tspan13,Prpf40a,Tspan13,up
Rpl35_Fxyd2,Rpl35,Fxyd2,none
Myd88_Dhtkd1,Myd88,Dhtkd1,none
Tnfrsf1a_Fos,Tnfrsf1a,Fos,up
Tnfaip3_Slamf9,Tnfaip3,Slamf9,down
Ifnar1_Gm12758,Ifnar1,Gm12758,none
Pfn1_Calr,Pfn1,Calr,none
Klf6_Anxa2,Klf6,Anxa2,down
Irf2_Idnk,Irf2,Idnk,up
Rps5_Eif5,Rps5,Eif5,up
Hdac3_Cd36,Hdac3,Cd36,up
Wdr1_Tpm2,Wdr1,Tpm2,up
Igbp1_Cxcl2,Igbp1,Cxcl2,up
Qars_Reps1,Qars,Reps1,none
Usp9x_Lgals3,Usp9x,Lgals3,up
Nol10_Etnk1,Nol10,Etnk1,up
Atp6ap2_Lmna,Atp6ap2,Lmna,none
Actl6a_Sqstm1,Actl6a,Sqstm1,up
Med25_Rwdd4a,Med25,Rwdd4a,none
Gosr2_2310009B15Rik,Gosr2,2310009B15Rik,down
Kat5_H2az1,Kat5,H2az1,none
Nrbf2_Gadd45b,Nrbf2,Gadd45b,none
Atg101_Acod1,Atg101,Acod1,none
Daxx_Odc1,Daxx,Odc1,none
Trem2_Psma6,Trem2,Psma6,none
Nol10_Gbp8,Nol10,Gbp8,up
Srsf1_Ifit3,Srsf1,Ifit3,none
Vps39_Pcna,Vps39,Pcna,none
Rhoa_Adgre5,Rhoa,Adgre5,up
Ptpn11_Fnbp1l,Ptpn11,Fnbp1l,none
Cdkn1a_Denr,Cdkn1a,Denr,none
Exoc5_Gclm,Exoc5,Gclm,up
Cpsf4_2310009B15Rik,Cpsf4,2310009B15Rik,up
Gosr2_Pck2,Gosr2,Pck2,up
Tpr_Hipk1,Tpr,Hipk1,none
Nob1_Clec7a,Nob1,Clec7a,none
Rc3h1_Hmox1,Rc3h1,Hmox1,none
Ankrd11_Gpnmb,Ankrd11,Gpnmb,up
Rngtt_Creg1,Rngtt,Creg1,up
Dcaf13_Sqstm1,Dcaf13,Sqstm1,none
Ehmt2_Ifit2,Ehmt2,Ifit2,none
Emc7_Insl6,Emc7,Insl6,none
Pgm3_Gm11613,Pgm3,Gm11613,none
Ppp2r2a_Lix1,Ppp2r2a,Lix1,none
Atf4_Nedd9,Atf4,Nedd9,up
Ubr4_Papss1,Ubr4,Papss1,none
Ctdspl2_C1qb,Ctdspl2,C1qb,down
Kars_Sqstm1,Kars,Sqstm1,none
Uxt_Gls,Uxt,Gls,up
Dpy30_Creg1,Dpy30,Creg1,none
Sptlc1_B4galt5,Sptlc1,B4galt5,up
Wdr1_Fam162a,Wdr1,Fam162a,none
Tpr_Polr2g,Tpr,Polr2g,none
Runx1_Npy,Runx1,Npy,up
Atf4_Gsta3,Atf4,Gsta3,up
Ints1_Selenop,Ints1,Selenop,up
Myd88_Saa3,Myd88,Saa3,down
Rpp21_Hspa5,Rpp21,Hspa5,none
Ptpn11_H2-M2,Ptpn11,H2-M2,up
Stk11_Lgals3,Stk11,Lgals3,none
Rel_Itga4,Rel,Itga4,down
Rheb_Trim30c,Rheb,Trim30c,none
Pdcd10_Ccrl2,Pdcd10,Ccrl2,up
Rps5_Ms4a4c,Rps5,Ms4a4c,none
Rbm15_Tlr2,Rbm15,Tlr2,up
Tpr_Lrp12,Tpr,Lrp12,none
Rps5_Nampt,Rps5,Nampt,up
Eif2s1_Gm49959,Eif2s1,Gm49959,none
Usp7_Gja1,Usp7,Gja1,up
Rnf40_Socs1,Rnf40,Socs1,none
Gins3_Dock10,Gins3,Dock10,none
Wdr75_Tcf4,Wdr75,Tcf4,up
Sars_Atf5,Sars,Atf5,up
Aip_Tgm2,Aip,Tgm2,up
Spc24_Bcat2,Spc24,Bcat2,down
Ttc1_Anxa3,Ttc1,Anxa3,none
Irf2_Selenow,Irf2,Selenow,none
Telo2_Hsp90ab1,Telo2,Hsp90ab1,none
Nkap_Lgals3,Nkap,Lgals3,up
Ptpn11_Ms4a4a,Ptpn11,Ms4a4a,up
Ctdspl2_C3,Ctdspl2,C3,down
Tmem258_Ifitm6,Tmem258,Ifitm6,none
Msto1_Marcks,Msto1,Marcks,none
Rb1_Itpr2,Rb1,Itpr2,none
Pik3r4_Gpnmb,Pik3r4,Gpnmb,up
Myc_Rgs1,Myc,Rgs1,none
Rela_Etnk1,Rela,Etnk1,none
Hira_Bcl2a1d,Hira,Bcl2a1d,down
Hira_Igsf6,Hira,Igsf6,none
Chmp6_Rsad2,Chmp6,Rsad2,up
Nop16_Enpp4,Nop16,Enpp4,up
Spout1_Cd44,Spout1,Cd44,up
Tnfrsf1a_Gm12279,Tnfrsf1a,Gm12279,none
Srsf10_Nop10,Srsf10,Nop10,none
Mcm4_Man1a,Mcm4,Man1a,up
Ctdnep1_9230114K14Rik,Ctdnep1,9230114K14Rik,none
Copz1_Gbf1,Copz1,Gbf1,up
Rb1cc1_Akr1a1,Rb1cc1,Akr1a1,up
Ddb1_Selenop,Ddb1,Selenop,up
Mnt_Zfp281,Mnt,Zfp281,none
Vps72_Vat1,Vps72,Vat1,none
Nfkbiz_Socs7,Nfkbiz,Socs7,none
Pik3r4_Arhgap31,Pik3r4,Arhgap31,none
Cul3_Mmp12,Cul3,Mmp12,up
Pi4kb_Enpp4,Pi4kb,Enpp4,none
Myd88_Psma6,Myd88,Psma6,down
Leng8_Ccnd1,Leng8,Ccnd1,up
Sec63_Mxd1,Sec63,Mxd1,down
Snrnp70_Il6,Snrnp70,Il6,none
Wdr36_Tlk2,Wdr36,Tlk2,none
Txnl4a_Hyal2,Txnl4a,Hyal2,none
E4f1_Gpr84,E4f1,Gpr84,down
Jak1_Irgm1,Jak1,Irgm1,down
Ddb1_Snhg1,Ddb1,Snhg1,none
Ndc80_Folr2,Ndc80,Folr2,none
Pik3c3_Selenow,Pik3c3,Selenow,down
Mcm4_Lrrc25,Mcm4,Lrrc25,none
Dhx15_Lpp,Dhx15,Lpp,none
Tln1_Gm5150,Tln1,Gm5150,up
Snx14_Vegfb,Snx14,Vegfb,up
Atp6v1e1_Alcam,Atp6v1e1,Alcam,up
Spc24_Actb,Spc24,Actb,none
Rrp1_Cd69,Rrp1,Cd69,up
Stag2_Mt1,Stag2,Mt1,up
Rcl1_Cd72,Rcl1,Cd72,none
